seat_group,metric_x,metric_y,correlation
"economy class",cabin_staff_service,cabin_staff_service,1
"economy class",cabin_staff_service,food_and_beverages,0.6929971951706818
"economy class",cabin_staff_service,ground_service,0.5252305874166505
"economy class",cabin_staff_service,inflight_entertainment,0.5317619838318784
"economy class",cabin_staff_service,seat_comfort,0.6186081226541902
"economy class",cabin_staff_service,value_for_money,0.5519671652101008
"economy class",cabin_staff_service,wifi_and_connectivity,0.5129428991528192
"economy class",food_and_beverages,cabin_staff_service,0.6929971951706818
"economy class",food_and_beverages,food_and_beverages,1
"economy class",food_and_beverages,ground_service,0.5847530262446211
"economy class",food_and_beverages,inflight_entertainment,0.6213790211797705
"economy class",food_and_beverages,seat_comfort,0.6588059800835104
"economy class",food_and_beverages,value_for_money,0.6364490214828057
"economy class",food_and_beverages,wifi_and_connectivity,0.5995171827023478
"economy class",ground_service,cabin_staff_service,0.5252305874166505
"economy class",ground_service,food_and_beverages,0.5847530262446211
"economy class",ground_service,ground_service,1
"economy class",ground_service,inflight_entertainment,0.49321300025881365
"economy class",ground_service,seat_comfort,0.570317310441939
"economy class",ground_service,value_for_money,0.7464457566385146
"economy class",ground_service,wifi_and_connectivity,0.5122978976381359
"economy class",inflight_entertainment,cabin_staff_service,0.5317619838318784
"economy class",inflight_entertainment,food_and_beverages,0.6213790211797705
"economy class",inflight_entertainment,ground_service,0.49321300025881365
"economy class",inflight_entertainment,inflight_entertainment,1
"economy class",inflight_entertainment,seat_comfort,0.5811003616163722
"economy class",inflight_entertainment,value_for_money,0.5318968270745601
"economy class",inflight_entertainment,wifi_and_connectivity,0.7384454318700141
"economy class",seat_comfort,cabin_staff_service,0.6186081226541902
"economy class",seat_comfort,food_and_beverages,0.6588059800835104
"economy class",seat_comfort,ground_service,0.570317310441939
"economy class",seat_comfort,inflight_entertainment,0.5811003616163722
"economy class",seat_comfort,seat_comfort,1
"economy class",seat_comfort,value_for_money,0.6385642948076712
"economy class",seat_comfort,wifi_and_connectivity,0.5835009606249104
"economy class",value_for_money,cabin_staff_service,0.5519671652101008
"economy class",value_for_money,food_and_beverages,0.6364490214828057
"economy class",value_for_money,ground_service,0.7464457566385146
"economy class",value_for_money,inflight_entertainment,0.5318968270745601
"economy class",value_for_money,seat_comfort,0.6385642948076712
"economy class",value_for_money,value_for_money,1
"economy class",value_for_money,wifi_and_connectivity,0.5603368145954266
"economy class",wifi_and_connectivity,cabin_staff_service,0.5129428991528192
"economy class",wifi_and_connectivity,food_and_beverages,0.5995171827023478
"economy class",wifi_and_connectivity,ground_service,0.5122978976381359
"economy class",wifi_and_connectivity,inflight_entertainment,0.7384454318700141
"economy class",wifi_and_connectivity,seat_comfort,0.5835009606249104
"economy class",wifi_and_connectivity,value_for_money,0.5603368145954266
"economy class",wifi_and_connectivity,wifi_and_connectivity,1
"non-economy class",cabin_staff_service,cabin_staff_service,1
"non-economy class",cabin_staff_service,food_and_beverages,0.7548206318538534
"non-economy class",cabin_staff_service,ground_service,0.6072812408442547
"non-economy class",cabin_staff_service,inflight_entertainment,0.624219399492577
"non-economy class",cabin_staff_service,seat_comfort,0.676747755145287
"non-economy class",cabin_staff_service,value_for_money,0.7152442943364923
"non-economy class",cabin_staff_service,wifi_and_connectivity,0.5945007473857323
"non-economy class",food_and_beverages,cabin_staff_service,0.7548206318538534
"non-economy class",food_and_beverages,food_and_beverages,1
"non-economy class",food_and_beverages,ground_service,0.6606299878485986
"non-economy class",food_and_beverages,inflight_entertainment,0.70652210698906
"non-economy class",food_and_beverages,seat_comfort,0.6893942701300997
"non-economy class",food_and_beverages,value_for_money,0.7869239789953645
"non-economy class",food_and_beverages,wifi_and_connectivity,0.6720443160080384
"non-economy class",ground_service,cabin_staff_service,0.6072812408442547
"non-economy class",ground_service,food_and_beverages,0.6606299878485986
"non-economy class",ground_service,ground_service,1
"non-economy class",ground_service,inflight_entertainment,0.6375499581393153
"non-economy class",ground_service,seat_comfort,0.6852115433521492
"non-economy class",ground_service,value_for_money,0.7774478047179607
"non-economy class",ground_service,wifi_and_connectivity,0.6270643765529738
"non-economy class",inflight_entertainment,cabin_staff_service,0.624219399492577
"non-economy class",inflight_entertainment,food_and_beverages,0.70652210698906
"non-economy class",inflight_entertainment,ground_service,0.6375499581393153
"non-economy class",inflight_entertainment,inflight_entertainment,1
"non-economy class",inflight_entertainment,seat_comfort,0.7069346382463493
"non-economy class",inflight_entertainment,value_for_money,0.6936090698383564
"non-economy class",inflight_entertainment,wifi_and_connectivity,0.8065718419633626
"non-economy class",seat_comfort,cabin_staff_service,0.676747755145287
"non-economy class",seat_comfort,food_and_beverages,0.6893942701300997
"non-economy class",seat_comfort,ground_service,0.6852115433521492
"non-economy class",seat_comfort,inflight_entertainment,0.7069346382463493
"non-economy class",seat_comfort,seat_comfort,1
"non-economy class",seat_comfort,value_for_money,0.7460865116464438
"non-economy class",seat_comfort,wifi_and_connectivity,0.6359736360908406
"non-economy class",value_for_money,cabin_staff_service,0.7152442943364923
"non-economy class",value_for_money,food_and_beverages,0.7869239789953645
"non-economy class",value_for_money,ground_service,0.7774478047179607
"non-economy class",value_for_money,inflight_entertainment,0.6936090698383564
"non-economy class",value_for_money,seat_comfort,0.7460865116464438
"non-economy class",value_for_money,value_for_money,1
"non-economy class",value_for_money,wifi_and_connectivity,0.6869484399069001
"non-economy class",wifi_and_connectivity,cabin_staff_service,0.5945007473857323
"non-economy class",wifi_and_connectivity,food_and_beverages,0.6720443160080384
"non-economy class",wifi_and_connectivity,ground_service,0.6270643765529738
"non-economy class",wifi_and_connectivity,inflight_entertainment,0.8065718419633626
"non-economy class",wifi_and_connectivity,seat_comfort,0.6359736360908406
"non-economy class",wifi_and_connectivity,value_for_money,0.6869484399069001
"non-economy class",wifi_and_connectivity,wifi_and_connectivity,1
